NUMBER	CURRENT	MARKER_NUMBER	MISSING_DATA	METHOD	MEAN	SE	MIN	MAX	MEDIAN	QUANTILE25	QUANTILE75	SE_MIN	SE_MAX
36	OVERALL	1000	no.imputation	THL	58.25	10.05	48.2	68.3	58.25	53.23	63.27	48.2	68.3
36	OVERALL	2000	no.imputation	THL	60.55	15.05	45.5	75.6	60.55	53.02	68.07	45.5	75.6
36	OVERALL	3000	no.imputation	THL	66.3	15.8	50.5	82.1	66.3	58.4	74.2	50.5	82.1
36	OVERALL	4000	no.imputation	THL	66.65	16.05	50.6	82.7	66.65	58.62	74.68	50.6	82.7
36	OVERALL	5000	no.imputation	THL	69.9	17.8	52.1	87.7	69.9	61	78.8	52.1	87.7
36	OVERALL	6000	no.imputation	THL	70.95	19.35	51.6	90.3	70.95	61.28	80.62	51.6	90.3
36	OVERALL	7000	no.imputation	THL	68.3	21.1	47.2	89.4	68.3	57.75	78.85	47.2	89.4
36	OVERALL	8000	no.imputation	THL	71.1	19.9	51.2	91	71.1	61.15	81.05	51.2	91
36	OVERALL	9000	no.imputation	THL	73	20.2	52.8	93.2	73	62.9	83.1	52.8	93.2
36	OVERALL	10156	no.imputation	THL	75.6	17.6	58	93.2	75.6	66.8	84.4	58	93.2
36	NOR	100	no.imputation	THL	50	3.77	28	72	50	45.5	54.5	46.23	53.77
36	NOR	200	no.imputation	THL	51.1	2.86	39	61	53	44	59.75	48.24	53.96
36	NOR	500	no.imputation	THL	54	2.66	39	67	56	50	59.75	51.34	56.66
36	NOR	1000	no.imputation	THL	55.1	3.09	33	67	56	56	61	52.01	58.19
36	NOR	2000	no.imputation	THL	56.7	2.19	44	67	58.5	51.5	61	54.51	58.89
36	NOR	3000	no.imputation	THL	56.8	3.52	39	78	56	51.5	61	53.28	60.32
36	NOR	4000	no.imputation	THL	58.4	2.27	44	67	61	56	61	56.13	60.67
36	NOR	5000	no.imputation	THL	57.9	2.08	50	67	58.5	51.5	61	55.82	59.98
36	NOR	6000	no.imputation	THL	58.9	3.43	39	72	61	56	65.5	55.47	62.33
36	NOR	7000	no.imputation	THL	63.9	2.91	50	78	64	61	70.75	60.99	66.81
36	NOR	8000	no.imputation	THL	62.9	3.7	50	83	64	51.5	67	59.2	66.6
36	NOR	9000	no.imputation	THL	66.1	3.73	44	83	67	61	70.75	62.37	69.83
36	NOR	10156	no.imputation	THL	67.3	2.4	56	78	67	61	72	64.9	69.7
36	SOU	100	no.imputation	THL	52.8	3.2	44	78	50	45.5	56	49.6	56
36	SOU	200	no.imputation	THL	49.4	3.15	33	61	50	41.75	58.25	46.25	52.55
36	SOU	500	no.imputation	THL	56.2	2.14	44	67	56	51.5	61	54.06	58.34
36	SOU	1000	no.imputation	THL	59.7	3.01	50	78	56	51.5	67	56.69	62.71
36	SOU	2000	no.imputation	THL	64.5	2.01	56	72	64	61	70.75	62.49	66.51
36	SOU	3000	no.imputation	THL	67.9	3.82	50	94	67	62.5	70.75	64.08	71.72
36	SOU	4000	no.imputation	THL	69.4	2.09	61	78	72	62.5	72	67.31	71.49
36	SOU	5000	no.imputation	THL	71.8	3.26	50	89	72	67	78	68.54	75.06
36	SOU	6000	no.imputation	THL	76.2	2.18	67	89	78	72	78	74.02	78.38
36	SOU	7000	no.imputation	THL	76.6	2.15	67	89	75	72	81.75	74.45	78.75
36	SOU	8000	no.imputation	THL	78.8	2.4	67	94	78	73.5	83	76.4	81.2
36	SOU	9000	no.imputation	THL	75.5	3.48	56	94	72	72	81.75	72.02	78.98
36	SOU	10156	no.imputation	THL	70.6	2	61	83	69.5	67	72	68.6	72.6
36	OVERALL	100	no.imputation	THL	51.4	1.4	50	52.8	51.4	50.7	52.1	50	52.8
36	OVERALL	200	no.imputation	THL	50.25	0.85	49.4	51.1	50.25	49.82	50.68	49.4	51.1
36	OVERALL	500	no.imputation	THL	55.1	1.1	54	56.2	55.1	54.55	55.65	54	56.2
36	OVERALL	1000	no.imputation	THL	57.4	2.3	55.1	59.7	57.4	56.25	58.55	55.1	59.7
36	OVERALL	2000	no.imputation	THL	60.6	3.9	56.7	64.5	60.6	58.65	62.55	56.7	64.5
36	OVERALL	3000	no.imputation	THL	62.35	5.55	56.8	67.9	62.35	59.57	65.12	56.8	67.9
36	OVERALL	4000	no.imputation	THL	63.9	5.5	58.4	69.4	63.9	61.15	66.65	58.4	69.4
36	OVERALL	5000	no.imputation	THL	64.85	6.95	57.9	71.8	64.85	61.38	68.32	57.9	71.8
36	OVERALL	6000	no.imputation	THL	67.55	8.65	58.9	76.2	67.55	63.22	71.88	58.9	76.2
36	OVERALL	7000	no.imputation	THL	70.25	6.35	63.9	76.6	70.25	67.07	73.42	63.9	76.6
36	OVERALL	8000	no.imputation	THL	70.85	7.95	62.9	78.8	70.85	66.88	74.82	62.9	78.8
36	OVERALL	9000	no.imputation	THL	70.8	4.7	66.1	75.5	70.8	68.45	73.15	66.1	75.5
36	OVERALL	10156	no.imputation	THL	68.95	1.65	67.3	70.6	68.95	68.12	69.77	67.3	70.6
36	NOR	100	no.imputation	THL	48.8	3.31	28	67	50	44	50	45.49	52.11
36	NOR	200	no.imputation	THL	46.78	2.66	33	61	50	44	50	44.12	49.44
36	NOR	500	no.imputation	THL	48.4	3.45	33	67	50	39	54.5	44.95	51.85
36	NOR	1000	no.imputation	THL	50.1	3.44	28	61	56	44	56	46.66	53.54
36	NOR	2000	no.imputation	THL	53.3	4.08	39	72	50	44	64.25	49.22	57.38
36	NOR	3000	no.imputation	THL	51.7	3.07	39	67	50	44	56	48.63	54.77
36	NOR	4000	no.imputation	THL	51.78	2.8	39	61	50	44	61	48.98	54.58
36	NOR	5000	no.imputation	THL	48.3	2.3	33	56	50	44	54.5	46	50.6
36	NOR	6000	no.imputation	THL	51.6	2.93	33	61	53	45.5	59.75	48.67	54.53
36	NOR	7000	no.imputation	THL	48.8	2.53	33	61	50	44	54.5	46.27	51.33
36	NOR	8000	no.imputation	THL	45.9	2.95	33	61	44	44	53	42.95	48.85
36	NOR	9000	no.imputation	THL	50.6	2.83	33	61	50	50	56	47.77	53.43
36	NOR	10156	no.imputation	THL	54.5	3	39	67	53	50	61	51.5	57.5
36	SOU	100	no.imputation	THL	61.8	3.12	39	72	64	57.25	67	58.68	64.92
36	SOU	200	no.imputation	THL	61.78	2.48	50	72	61	56	67	59.3	64.26
36	SOU	500	no.imputation	THL	67.2	2.24	50	72	69.5	67	72	64.96	69.44
36	SOU	1000	no.imputation	THL	65.5	1.95	56	72	64	61	72	63.55	67.45
36	SOU	2000	no.imputation	THL	69.5	3.2	56	83	67	61	78	66.3	72.7
36	SOU	3000	no.imputation	THL	68.9	4.55	50	89	61	61	81.75	64.35	73.45
36	SOU	4000	no.imputation	THL	71	2.57	61	83	72	67	78	68.43	73.57
36	SOU	5000	no.imputation	THL	72.3	2.23	61	78	75	68.25	78	70.07	74.53
36	SOU	6000	no.imputation	THL	67.3	2.35	56	78	69.5	62.5	72	64.95	69.65
36	SOU	7000	no.imputation	THL	70	1.9	61	78	72	67	72	68.1	71.9
36	SOU	8000	no.imputation	THL	73.8	2.18	61	83	72	72	78	71.62	75.98
36	SOU	9000	no.imputation	THL	72.9	2.24	61	83	75	67	78	70.66	75.14
36	SOU	10156	no.imputation	THL	74.6	2.52	61	89	78	68.25	78	72.08	77.12
36	OVERALL	100	no.imputation	THL	55.3	6.5	48.8	61.8	55.3	52.05	58.55	48.8	61.8
36	OVERALL	200	no.imputation	THL	54.28	7.5	46.78	61.78	54.28	50.53	58.03	46.78	61.78
36	OVERALL	500	no.imputation	THL	57.8	9.4	48.4	67.2	57.8	53.1	62.5	48.4	67.2
36	OVERALL	1000	no.imputation	THL	57.8	7.7	50.1	65.5	57.8	53.95	61.65	50.1	65.5
36	OVERALL	2000	no.imputation	THL	61.4	8.1	53.3	69.5	61.4	57.35	65.45	53.3	69.5
36	OVERALL	3000	no.imputation	THL	60.3	8.6	51.7	68.9	60.3	56	64.6	51.7	68.9
36	OVERALL	4000	no.imputation	THL	61.39	9.61	51.78	71	61.39	56.59	66.19	51.78	71
36	OVERALL	5000	no.imputation	THL	60.3	12	48.3	72.3	60.3	54.3	66.3	48.3	72.3
36	OVERALL	6000	no.imputation	THL	59.45	7.85	51.6	67.3	59.45	55.53	63.37	51.6	67.3
36	OVERALL	7000	no.imputation	THL	59.4	10.6	48.8	70	59.4	54.1	64.7	48.8	70
36	OVERALL	8000	no.imputation	THL	59.85	13.95	45.9	73.8	59.85	52.88	66.82	45.9	73.8
36	OVERALL	9000	no.imputation	THL	61.75	11.15	50.6	72.9	61.75	56.18	67.33	50.6	72.9
36	OVERALL	10156	no.imputation	THL	64.55	10.05	54.5	74.6	64.55	59.52	69.57	54.5	74.6
36	NOR	100	no.imputation	THL	51.7	3.14	39	67	53	44	59.75	48.56	54.84
36	NOR	200	no.imputation	THL	50.6	2.9	39	61	50	41.75	59.75	47.7	53.5
36	NOR	500	no.imputation	THL	51	3.76	39	72	47	40.25	61	47.24	54.76
36	NOR	1000	no.imputation	THL	50	3.55	33	61	53	41.75	59.75	46.45	53.55
36	NOR	2000	no.imputation	THL	48.9	3.4	33	61	50	39	59.75	45.5	52.3
36	NOR	3000	no.imputation	THL	52.9	2.56	39	67	53	50	56	50.34	55.46
36	NOR	4000	no.imputation	THL	55.6	3.67	39	72	56	50	61	51.93	59.27
36	NOR	5000	no.imputation	THL	55.57	3.44	44	72	56	50	58.5	52.13	59.01
36	NOR	6000	no.imputation	THL	56.1	2.82	44	72	53	50	61	53.28	58.92
36	NOR	7000	no.imputation	THL	57.4	2.63	50	72	56	50	64.25	54.77	60.03
36	NOR	8000	no.imputation	THL	57.7	3.51	44	78	61	47	61	54.19	61.21
36	NOR	9000	no.imputation	THL	61.78	3.13	50	72	67	50	67	58.65	64.91
36	NOR	10156	no.imputation	THL	62.4	2.15	50	72	64	57.25	67	60.25	64.55
36	SOU	100	no.imputation	THL	58.5	3.42	39	72	56	51.5	67	55.08	61.92
36	SOU	200	no.imputation	THL	55.7	2.72	39	72	56	51.5	59.75	52.98	58.42
36	SOU	500	no.imputation	THL	62.3	3.99	50	83	58.5	51.5	67	58.31	66.29
36	SOU	1000	no.imputation	THL	59.6	2.33	50	72	58.5	56	65.5	57.27	61.93
36	SOU	2000	no.imputation	THL	61.7	2.53	50	72	61	57.25	67	59.17	64.23
36	SOU	3000	no.imputation	THL	66.6	3.28	50	83	66.5	61	72	63.32	69.88
36	SOU	4000	no.imputation	THL	65.7	3.29	50	78	64	57.25	76.5	62.41	68.99
36	SOU	5000	no.imputation	THL	68.29	3.73	56	83	67	61	75	64.56	72.02
36	SOU	6000	no.imputation	THL	70.6	3.47	56	89	72	62.5	76.5	67.13	74.07
36	SOU	7000	no.imputation	THL	68.9	3.27	56	83	69.5	61	76.5	65.63	72.17
36	SOU	8000	no.imputation	THL	67.9	3.45	50	83	69.5	58.75	76.5	64.45	71.35
36	SOU	9000	no.imputation	THL	68.56	3.63	56	83	67	61	78	64.93	72.19
36	SOU	10156	no.imputation	THL	64	2.71	56	83	61	57.25	67	61.29	66.71
36	OVERALL	100	no.imputation	THL	55.1	3.4	51.7	58.5	55.1	53.4	56.8	51.7	58.5
36	OVERALL	200	no.imputation	THL	53.15	2.55	50.6	55.7	53.15	51.88	54.43	50.6	55.7
36	OVERALL	500	no.imputation	THL	56.65	5.65	51	62.3	56.65	53.83	59.47	51	62.3
36	OVERALL	1000	no.imputation	THL	54.8	4.8	50	59.6	54.8	52.4	57.2	50	59.6
36	OVERALL	2000	no.imputation	THL	55.3	6.4	48.9	61.7	55.3	52.1	58.5	48.9	61.7
36	OVERALL	3000	no.imputation	THL	59.75	6.85	52.9	66.6	59.75	56.32	63.17	52.9	66.6
36	OVERALL	4000	no.imputation	THL	60.65	5.05	55.6	65.7	60.65	58.12	63.18	55.6	65.7
36	OVERALL	5000	no.imputation	THL	61.93	6.36	55.57	68.29	61.93	58.75	65.11	55.57	68.29
36	OVERALL	6000	no.imputation	THL	63.35	7.25	56.1	70.6	63.35	59.73	66.97	56.1	70.6
36	OVERALL	7000	no.imputation	THL	63.15	5.75	57.4	68.9	63.15	60.27	66.03	57.4	68.9
36	OVERALL	8000	no.imputation	THL	62.8	5.1	57.7	67.9	62.8	60.25	65.35	57.7	67.9
36	OVERALL	9000	no.imputation	THL	65.17	3.39	61.78	68.56	65.17	63.48	66.87	61.78	68.56
36	OVERALL	10156	no.imputation	THL	63.2	0.8	62.4	64	63.2	62.8	63.6	62.4	64
36	NOR	100	no.imputation	THL	55.5	3.61	44	83	53	50	59.75	51.89	59.11
36	NOR	200	no.imputation	THL	54.1	3.53	28	67	56	50	59.75	50.57	57.63
36	NOR	500	no.imputation	THL	46	2.66	33	61	44	40.25	50	43.34	48.66
36	NOR	1000	no.imputation	THL	50.6	2.33	39	61	53	44	56	48.27	52.93
36	NOR	2000	no.imputation	THL	54.4	2.93	44	67	53	45.5	61	51.47	57.33
36	NOR	3000	no.imputation	THL	58	3.26	44	72	61	50	67	54.74	61.26
36	NOR	4000	no.imputation	THL	58.3	3.42	39	72	61	50	65.5	54.88	61.72
36	NOR	5000	no.imputation	THL	60.6	3.17	44	78	61	56	65.5	57.43	63.77
36	NOR	6000	no.imputation	THL	61.1	3.09	44	72	61	56	70.75	58.01	64.19
36	NOR	7000	no.imputation	THL	61.2	2.29	50	72	61	56	65.5	58.91	63.49
36	NOR	8000	no.imputation	THL	61.7	2.22	50	72	61	57.25	65.5	59.48	63.92
36	NOR	9000	no.imputation	THL	60.1	2.6	50	78	61	56	61	57.5	62.7
36	NOR	10156	no.imputation	THL	63.9	2.87	50	78	61	57.25	72	61.03	66.77
36	SOU	100	no.imputation	THL	72.2	3.26	50	83	72	67	81.75	68.94	75.46
36	SOU	200	no.imputation	THL	70.7	3.96	50	89	72.5	62.5	78	66.74	74.66
36	SOU	500	no.imputation	THL	69.4	3.35	50	89	72	62.5	72	66.05	72.75
36	SOU	1000	no.imputation	THL	76.6	2.7	61	89	78	72	83	73.9	79.3
36	SOU	2000	no.imputation	THL	78.3	1.76	72	89	78	73.5	81.75	76.54	80.06
36	SOU	3000	no.imputation	THL	79.56	2.22	67	89	83	78	83	77.34	81.78
36	SOU	4000	no.imputation	THL	82.7	1.27	78	89	83	79.25	83	81.43	83.97
36	SOU	5000	no.imputation	THL	83.7	1.5	78	94	83	83	83	82.2	85.2
36	SOU	6000	no.imputation	THL	82.7	1.69	78	94	83	78	83	81.01	84.39
36	SOU	7000	no.imputation	THL	84.4	1.78	78	94	83	79.25	89	82.62	86.18
36	SOU	8000	no.imputation	THL	84.3	1.14	78	89	83	83	87.5	83.16	85.44
36	SOU	9000	no.imputation	THL	85.4	1.48	78	94	83	83	89	83.92	86.88
36	SOU	10156	no.imputation	THL	85.9	1.68	78	94	83	83	89	84.22	87.58
36	OVERALL	100	no.imputation	THL	63.85	8.35	55.5	72.2	63.85	59.67	68.03	55.5	72.2
36	OVERALL	200	no.imputation	THL	62.4	8.3	54.1	70.7	62.4	58.25	66.55	54.1	70.7
36	OVERALL	500	no.imputation	THL	57.7	11.7	46	69.4	57.7	51.85	63.55	46	69.4
36	OVERALL	1000	no.imputation	THL	63.6	13	50.6	76.6	63.6	57.1	70.1	50.6	76.6
36	OVERALL	2000	no.imputation	THL	66.35	11.95	54.4	78.3	66.35	60.38	72.32	54.4	78.3
36	OVERALL	3000	no.imputation	THL	68.78	10.78	58	79.56	68.78	63.39	74.17	58	79.56
36	OVERALL	4000	no.imputation	THL	70.5	12.2	58.3	82.7	70.5	64.4	76.6	58.3	82.7
36	OVERALL	5000	no.imputation	THL	72.15	11.55	60.6	83.7	72.15	66.38	77.93	60.6	83.7
36	OVERALL	6000	no.imputation	THL	71.9	10.8	61.1	82.7	71.9	66.5	77.3	61.1	82.7
36	OVERALL	7000	no.imputation	THL	72.8	11.6	61.2	84.4	72.8	67	78.6	61.2	84.4
36	OVERALL	8000	no.imputation	THL	73	11.3	61.7	84.3	73	67.35	78.65	61.7	84.3
36	OVERALL	9000	no.imputation	THL	72.75	12.65	60.1	85.4	72.75	66.43	79.08	60.1	85.4
36	OVERALL	10156	no.imputation	THL	74.9	11	63.9	85.9	74.9	69.4	80.4	63.9	85.9
50	NOR	100	no.imputation	THL	51.6	2.56	40	64	52	48	58	49.04	54.16
50	NOR	200	no.imputation	THL	54.4	2.81	44	72	52	49	59	51.59	57.21
50	NOR	500	no.imputation	THL	60	2.39	48	72	60	54	64	57.61	62.39
50	NOR	1000	no.imputation	THL	66.4	2	56	76	68	61	71	64.4	68.4
50	NOR	2000	no.imputation	THL	70.8	2.86	52	80	72	69	78	67.94	73.66
50	NOR	3000	no.imputation	THL	72.4	1.93	64	84	72	69	76	70.47	74.33
50	NOR	4000	no.imputation	THL	75.6	1.93	64	84	76	72	79	73.67	77.53
50	NOR	5000	no.imputation	THL	76.4	1.39	68	80	78	73	80	75.01	77.79
50	NOR	6000	no.imputation	THL	76.8	1.55	68	84	78	73	80	75.25	78.35
50	NOR	7000	no.imputation	THL	75.6	1.73	68	84	74	72	79	73.87	77.33
50	NOR	8000	no.imputation	THL	73.2	1.47	68	80	72	69	76	71.73	74.67
50	NOR	9000	no.imputation	THL	72.4	1.39	68	80	72	68	76	71.01	73.79
50	NOR	10156	no.imputation	THL	74.4	0.88	72	80	74	72	76	73.52	75.28
50	SOU	100	no.imputation	THL	59.2	2.22	48	72	58	56	64	56.98	61.42
50	SOU	200	no.imputation	THL	62.4	2.61	48	80	62	60	64	59.79	65.01
50	SOU	500	no.imputation	THL	64	1.79	56	72	64	61	67	62.21	65.79
50	SOU	1000	no.imputation	THL	75.2	2.52	60	88	76	72	79	72.68	77.72
50	SOU	2000	no.imputation	THL	84.8	1.16	80	88	86	81	88	83.64	85.96
50	SOU	3000	no.imputation	THL	85.6	1.22	80	92	86	84	88	84.38	86.82
50	SOU	4000	no.imputation	THL	86.4	1.36	80	96	86	84	88	85.04	87.76
50	SOU	5000	no.imputation	THL	86.8	1.58	80	92	86	84	92	85.22	88.38
50	SOU	6000	no.imputation	THL	88.8	1.55	80	96	90	85	92	87.25	90.35
50	SOU	7000	no.imputation	THL	89.2	1.04	84	96	88	88	91	88.16	90.24
50	SOU	8000	no.imputation	THL	88.8	1.67	80	100	88	88	91	87.13	90.47
50	SOU	9000	no.imputation	THL	88.4	1.39	84	96	88	84	92	87.01	89.79
50	SOU	10156	no.imputation	THL	89.6	1.36	84	96	88	88	92	88.24	90.96
50	OVERALL	100	no.imputation	THL	55.4	3.8	51.6	59.2	55.4	53.5	57.3	51.6	59.2
50	OVERALL	200	no.imputation	THL	58.4	4	54.4	62.4	58.4	56.4	60.4	54.4	62.4
50	OVERALL	500	no.imputation	THL	62	2	60	64	62	61	63	60	64
50	OVERALL	1000	no.imputation	THL	70.8	4.4	66.4	75.2	70.8	68.6	73	66.4	75.2
50	OVERALL	2000	no.imputation	THL	77.8	7	70.8	84.8	77.8	74.3	81.3	70.8	84.8
50	OVERALL	3000	no.imputation	THL	79	6.6	72.4	85.6	79	75.7	82.3	72.4	85.6
50	OVERALL	4000	no.imputation	THL	81	5.4	75.6	86.4	81	78.3	83.7	75.6	86.4
50	OVERALL	5000	no.imputation	THL	81.6	5.2	76.4	86.8	81.6	79	84.2	76.4	86.8
50	OVERALL	6000	no.imputation	THL	82.8	6	76.8	88.8	82.8	79.8	85.8	76.8	88.8
50	OVERALL	7000	no.imputation	THL	82.4	6.8	75.6	89.2	82.4	79	85.8	75.6	89.2
50	OVERALL	8000	no.imputation	THL	81	7.8	73.2	88.8	81	77.1	84.9	73.2	88.8
50	OVERALL	9000	no.imputation	THL	80.4	8	72.4	88.4	80.4	76.4	84.4	72.4	88.4
50	OVERALL	10156	no.imputation	THL	82	7.6	74.4	89.6	82	78.2	85.8	74.4	89.6
50	NOR	100	no.imputation	THL	52.4	2.42	44	64	52	45	59	49.98	54.82
50	NOR	200	no.imputation	THL	58	2.62	44	72	56	53	63	55.38	60.62
50	NOR	500	no.imputation	THL	62.4	3.05	52	76	60	53	72	59.35	65.45
50	NOR	1000	no.imputation	THL	63.6	2.56	48	72	66	61	68	61.04	66.16
50	NOR	2000	no.imputation	THL	64.4	1.63	56	72	64	61	67	62.77	66.03
50	NOR	3000	no.imputation	THL	67.6	2.1	52	76	68	65	72	65.5	69.7
50	NOR	4000	no.imputation	THL	68.8	2.05	60	80	68	64	72	66.75	70.85
50	NOR	5000	no.imputation	THL	71.6	2.19	60	80	74	69	76	69.41	73.79
50	NOR	6000	no.imputation	THL	70.8	2.39	56	80	72	69	76	68.41	73.19
50	NOR	7000	no.imputation	THL	72.4	2.19	64	84	72	68	78	70.21	74.59
50	NOR	8000	no.imputation	THL	71.6	1.51	64	80	72	68	75	70.09	73.11
50	NOR	9000	no.imputation	THL	71.6	1.73	64	80	70	68	75	69.87	73.33
50	NOR	10156	no.imputation	THL	80.89	0.89	76	84	80	80	84	80	81.78
50	SOU	100	no.imputation	THL	64.4	2.89	48	76	66	57	72	61.51	67.29
50	SOU	200	no.imputation	THL	68.4	2.76	56	80	64	64	76	65.64	71.16
50	SOU	500	no.imputation	THL	73.6	2.08	64	84	74	68	79	71.52	75.68
50	SOU	1000	no.imputation	THL	75.2	2.52	64	88	74	69	82	72.68	77.72
50	SOU	2000	no.imputation	THL	81.2	2.31	72	92	82	74	87	78.89	83.51
50	SOU	3000	no.imputation	THL	78.8	2.15	68	88	80	73	83	76.65	80.95
50	SOU	4000	no.imputation	THL	82.4	2.32	68	92	84	78	84	80.08	84.72
50	SOU	5000	no.imputation	THL	82	1.71	72	88	82	80	87	80.29	83.71
50	SOU	6000	no.imputation	THL	82.4	1.81	72	88	82	80	88	80.59	84.21
50	SOU	7000	no.imputation	THL	80.4	1.93	72	92	80	77	84	78.47	82.33
50	SOU	8000	no.imputation	THL	82.8	2.07	72	96	84	80	84	80.73	84.87
50	SOU	9000	no.imputation	THL	80.4	1.73	72	92	80	77	83	78.67	82.13
50	SOU	10156	no.imputation	THL	80.44	1.94	72	92	80	76	84	78.5	82.38
50	OVERALL	100	no.imputation	THL	58.4	6	52.4	64.4	58.4	55.4	61.4	52.4	64.4
50	OVERALL	200	no.imputation	THL	63.2	5.2	58	68.4	63.2	60.6	65.8	58	68.4
50	OVERALL	500	no.imputation	THL	68	5.6	62.4	73.6	68	65.2	70.8	62.4	73.6
50	OVERALL	1000	no.imputation	THL	69.4	5.8	63.6	75.2	69.4	66.5	72.3	63.6	75.2
50	OVERALL	2000	no.imputation	THL	72.8	8.4	64.4	81.2	72.8	68.6	77	64.4	81.2
50	OVERALL	3000	no.imputation	THL	73.2	5.6	67.6	78.8	73.2	70.4	76	67.6	78.8
50	OVERALL	4000	no.imputation	THL	75.6	6.8	68.8	82.4	75.6	72.2	79	68.8	82.4
50	OVERALL	5000	no.imputation	THL	76.8	5.2	71.6	82	76.8	74.2	79.4	71.6	82
50	OVERALL	6000	no.imputation	THL	76.6	5.8	70.8	82.4	76.6	73.7	79.5	70.8	82.4
50	OVERALL	7000	no.imputation	THL	76.4	4	72.4	80.4	76.4	74.4	78.4	72.4	80.4
50	OVERALL	8000	no.imputation	THL	77.2	5.6	71.6	82.8	77.2	74.4	80	71.6	82.8
50	OVERALL	9000	no.imputation	THL	76	4.4	71.6	80.4	76	73.8	78.2	71.6	80.4
50	OVERALL	10156	no.imputation	THL	80.66	0.23	80.44	80.89	80.66	80.55	80.78	80.43	80.89
50	NOR	100	no.imputation	THL	56.89	3.11	44	72	52	52	64	53.78	60
50	NOR	200	no.imputation	THL	54	3	40	76	52	49	56	51	57
50	NOR	500	no.imputation	THL	58	2	48	68	58	53	63	56	60
50	NOR	1000	no.imputation	THL	58.4	2.75	44	72	60	53	63	55.65	61.15
50	NOR	2000	no.imputation	THL	59.6	3.12	44	76	60	53	67	56.48	62.72
50	NOR	3000	no.imputation	THL	61.33	2.31	52	72	64	56	64	59.02	63.64
50	NOR	4000	no.imputation	THL	62.8	2.24	52	72	62	57	68	60.56	65.04
50	NOR	5000	no.imputation	THL	63.2	3.14	48	80	64	60	68	60.06	66.34
50	NOR	6000	no.imputation	THL	66	2.55	52	76	68	65	71	63.45	68.55
50	NOR	7000	no.imputation	THL	66.8	2.31	52	76	68	68	71	64.49	69.11
50	NOR	8000	no.imputation	THL	69.2	1.58	60	76	68	68	72	67.62	70.78
50	NOR	9000	no.imputation	THL	68.4	1.73	60	76	68	64	72	66.67	70.13
50	NOR	10156	no.imputation	THL	65.6	2.61	52	80	66	61	71	62.99	68.21
50	SOU	100	no.imputation	THL	58.22	2.91	48	76	56	52	60	55.31	61.13
50	SOU	200	no.imputation	THL	57.6	1.9	44	64	60	56	60	55.7	59.5
50	SOU	500	no.imputation	THL	62.4	3.05	48	80	64	60	64	59.35	65.45
50	SOU	1000	no.imputation	THL	64	2.6	48	76	62	60	71	61.4	66.6
50	SOU	2000	no.imputation	THL	68.8	1.87	60	80	68	68	72	66.93	70.67
50	SOU	3000	no.imputation	THL	74.67	2	64	84	76	72	76	72.67	76.67
50	SOU	4000	no.imputation	THL	77.6	1.48	68	84	80	76	80	76.12	79.08
50	SOU	5000	no.imputation	THL	77.6	1.48	68	84	80	76	80	76.12	79.08
50	SOU	6000	no.imputation	THL	79.2	1.31	76	88	78	76	80	77.89	80.51
50	SOU	7000	no.imputation	THL	80	1.33	72	84	80	77	84	78.67	81.33
50	SOU	8000	no.imputation	THL	80.4	1.26	76	88	80	77	83	79.14	81.66
50	SOU	9000	no.imputation	THL	79.2	1.44	72	84	80	77	83	77.76	80.64
50	SOU	10156	no.imputation	THL	82.4	1.22	76	88	84	81	84	81.18	83.62
50	OVERALL	100	no.imputation	THL	57.55	0.66	56.89	58.22	57.55	57.22	57.89	56.89	58.21
50	OVERALL	200	no.imputation	THL	55.8	1.8	54	57.6	55.8	54.9	56.7	54	57.6
50	OVERALL	500	no.imputation	THL	60.2	2.2	58	62.4	60.2	59.1	61.3	58	62.4
50	OVERALL	1000	no.imputation	THL	61.2	2.8	58.4	64	61.2	59.8	62.6	58.4	64
50	OVERALL	2000	no.imputation	THL	64.2	4.6	59.6	68.8	64.2	61.9	66.5	59.6	68.8
50	OVERALL	3000	no.imputation	THL	68	6.67	61.33	74.67	68	64.67	71.33	61.33	74.67
50	OVERALL	4000	no.imputation	THL	70.2	7.4	62.8	77.6	70.2	66.5	73.9	62.8	77.6
50	OVERALL	5000	no.imputation	THL	70.4	7.2	63.2	77.6	70.4	66.8	74	63.2	77.6
50	OVERALL	6000	no.imputation	THL	72.6	6.6	66	79.2	72.6	69.3	75.9	66	79.2
50	OVERALL	7000	no.imputation	THL	73.4	6.6	66.8	80	73.4	70.1	76.7	66.8	80
50	OVERALL	8000	no.imputation	THL	74.8	5.6	69.2	80.4	74.8	72	77.6	69.2	80.4
50	OVERALL	9000	no.imputation	THL	73.8	5.4	68.4	79.2	73.8	71.1	76.5	68.4	79.2
50	OVERALL	10156	no.imputation	THL	74	8.4	65.6	82.4	74	69.8	78.2	65.6	82.4
50	NOR	100	no.imputation	THL	53.33	0.94	48	56	52	52	56	52.39	54.27
50	NOR	200	no.imputation	THL	58.8	3.32	48	76	60	48	64	55.48	62.12
50	NOR	500	no.imputation	THL	62.4	2	52	72	64	57	67	60.4	64.4
50	NOR	1000	no.imputation	THL	62	2.48	52	76	60	56	67	59.52	64.48
50	NOR	2000	no.imputation	THL	70.8	1.34	64	76	72	69	72	69.46	72.14
50	NOR	3000	no.imputation	THL	67.6	1.63	60	76	66	64	72	65.97	69.23
50	NOR	4000	no.imputation	THL	70.8	2.98	56	88	72	65	75	67.82	73.78
50	NOR	5000	no.imputation	THL	71.2	3.14	56	92	70	65	75	68.06	74.34
